Number_of_Video,Text,Annotation,Textual_Sentiment_Analysis,Audio_Sentiment_Analysis,Video_Sentiment_Analysis,Start_Frame,End_Frame
1,Klagen,negative,negative,neutral,neutral,369,370
2,nichts als Klagen.,negative,neutral,negative,neutral,372,373
3,Bittschriften nichts als Bittschriften die traurigen Geschäfte,negative,negative,negative,neutral,375,383
4,und man beneidet uns noch.,negative,negative,negative,neutral,384,386
5,Das glaube ich.,neutral,neutral,negative,neutral,388,389
6,Wenn wir allen helfen könnten.,negative,positive,negative,neutral,390,392
7,Dann wären wir zu beneiden.,negative,negative,neutral,neutral,393,395
8,"Emilia, eine Emilia aber eine Emilia Bruneschi.",negative,neutral,negative,neutral,405,414
9,nicht Galotti,negative,negative,negative,neutral,416,417
10,nicht,negative,negative,negative,neutral,418,419
11,Emilia,neutral,neutral,negative,neutral,420,421
12,Galotti,neutral,neutral,negative,neutral,422,423
13,was will sie diese Emilia Bruneschi,negative,neutral,negative,neutral,425,427
14,viel,negative,neutral,neutral,neutral,432,432
15,"sehr viel, aber sie heißt Emilia.",positive,positive,neutral,neutral,434,438
16,gewähr,positive,neutral,neutral,neutral,440,441
17,"Da ist wohl noch keiner von den Räten in dem Vorzimmer. Nein, ich habe zu früh Tag gemacht. Ja, morgen ist so schön, ich will ausfahren, der Marquese Marinelli",positive,positive,negative,neutral,489,508
18,Ich kann doch nicht mehr arbeiten.,negative,negative,negative,neutral,516,522
19,Ich war so ruhig bild ich mir ein.,neutral,positive,negative,positive,523,525
20,"So, aber man muss eine arme Bolognesqui Emilia.",negative,negative,negative,negative,526,531
21,Weg ist meine Ruhe.,negative,positive,negative,neutral,533,534
22,Nach der Marquese ist geschickt und hier ein Brief von der Grafin Orsina.,neutral,positive,negative,neutral,538,554
23,Meine teure Gräfin.,neutral,negative,negative,neutral,565,566
24,So gut als gelesen.,neutral,positive,neutral,neutral,569,570
25,Nun ja.,neutral,neutral,negative,neutral,572,573
26,"Ich habe sie zu lieben geglaubt, was glaubt man nicht.",negative,negative,negative,negative,574,578
27,Es kann sein.,negative,neutral,neutral,neutral,579,580
28,Ich habe sie auch wirklich geliebt.,negative,positive,positiv,negative,582,583
29,ich habe,neutral,neutral,negative,negative,588,589
30,Der Maler Conti will die Gnade haben. Guten Morgen. Wie leben sie?,neutral,positive,negative,neutral,591,604
31,"Was macht die Kunst? Es geht nach Brot. In meinen Armen Künstler bringen, ich meine nicht viele, sondern viel dann wenig ist, aber mit Fleiß. Sie kommen doch nicht leer, Conti? Ich bringe das Portrait welches Sie mir befholen haben gnädiger Herr und noch eines welche sie mir nicht befohlen haben, aber weil es gesehen zu werden verdient. Jedes ist die neueste Auftrag ein wenig von lange her und schönen Damen sind nicht alle Tage zum Malen. Die Gräfin hat seit drei Monaten gerade einmal sich entschließen können zu sitzen.",neutral,negative,negative,negative,605,652
32,Nur sind die Stücke in deinem Wohnzimmer.,neutral,neutral,neutral,neutral,653,655
33,"ich hole sie, ihr Bild bis gut",neutral,positive,negative,neutral,658,664
34,Ihr Bild ist jedoch nicht selber,neutral,negative,negative,neutral,665,666
35,"Vielleicht finde ich in den Bildern wieder, was ich in der Person nicht mehr erblicke. Ich will es aber nicht wiederfinden, der beschwerlichen Maler, glaube gabi hat den bestochen, weil wäre es auch.",negative,negative,negative,negative,668,678
36,Bin ich ein anderes Bild?,negative,neutral,neutral,positive,679,680
37,Ist mit anderen Farben auf einen anderen Grund gemalt ist in meinem Herzen wieder Platz machen will.,negative,positive,negative,negative,682,689
38,"Wahrlich ich glaub ich wär zufrieden, als ich dort lebte war ich immer so leicht, so fröhlich, so ausgelassen und nun bin ich von allem das Gegenteil.",negative,positive,negative,neutral,690,704
39,ich bin so um,negative,neutral,neutral,neutral,710,711
40,"besser ich bitte übrigens, dass sie die Schranken unserer Kunst erregen wollen.",neutral,positive,positiv,neutral,713,717
41,Vieles von dem anzüglichsten der Schönheit liegt ganz außerdem Grenzen derselben.,neutral,positive,positiv,neutral,719,726
42,Treten Sie so,neutral,neutral,negative,neutral,729,730
43,"Ist vortrefflich Conti, ganz vortrefflich. Das gilt ihrer Kunst, ihrem Pinsel, aber geschmeichelt, Conti, ist ganz unendlich geschmeichelt. Das Original schien dieser Meinung nicht zu sein. Auch ist es in der Tat nicht mehr geschmeichelt, als die Kunst schmeicheln muß. Die Kunst muß malen, wie sich die plastische Natur – wenn es eine gibt – das Bild dachte: ohne den Abfall, welchen der widerstrebende Stoff unvermeidlich macht; ohne den Verderb, mit welchem die Zeit dagegen ankämpft. Der denkende Künstler ist noch eins soviel wert. – Aber das Original, sagen Sie, fand demungeachtet – Verzeihen Sie, Prinz. Das Original ist eine Person, die meine Ehrerbietung fodert. Ich habe nichts Nachteiliges von ihr äußern wollen.Soviel als Ihnen beliebt! – Und was sagte das Original?",positive,negative,positiv,neutral,739,781
44,"Ich bin zufrieden, sagte die Gräfin, wenn ich nicht häßlicher aussehe. Nicht häßlicher? – O das wahre Original! Und mit einer Miene sagte sie das – von der freilich dieses ihr Bild keine Spur, keinen Verdacht zeiget. Das meint' ich ja; das ist es eben, worin ich die unendliche Schmeichelei finde. – Oh! ich kenne sie, jene stolze, höhnische Miene, die auch das Gesicht einer Grazie entstellen würde! – Ich leugne nicht, daß ein schöner Mund, der sich ein wenig spöttisch verziehet, nicht selten um so viel schöner ist. Aber, wohl gemerkt, ein wenig: die Verziehung muß nicht bis zur Grimasse gehen, wie bei dieser Gräfin. Gnädiger Herr, ich bin äußerst betroffen – Denn sagen Sie selbst, Conti, läßt sich aus diesem Bilde wohl der Charakter der Person schließen? Und das sollte doch. Stolz haben Sie in Würde, Hohn in Lächeln, Ansatz zu trübsinniger Schwärmerei in sanfte Schwermut verwandelt. Ah, mein Prinz – wir Maler rechnen darauf, daß das fertige Bild den Liebhaber noch ebenso warm findet, als warm er es bestellte. ",negative,negative,negative,neutral,784,840
45,Wir malen mit Augen der Liebe und Augen der Liebe müssen uns auch nur beurteilen.,neutral,negative,negative,neutral,841,846
46,"Ja nun Conti, warum kamen sie nicht einen Monat früher damit?",neutral,negative,neutral,neutral,848,852
47,Setzen Sie weg.,neutral,neutral,neutral,neutral,854,855
48,Was ist das andere Stück?,neutral,neutral,neutral,neutral,856,857
49,Auch ein weibliches Porträt möchte ich lieber gar nichts.,neutral,positive,negative,neutral,860,866
50,Denn die mich,neutral,neutral,neutral,neutral,867,868
51,hier,neutral,neutral,negative,neutral,869,870
52,viel mehr,neutral,neutral,negative,negative,871,872
53,Hier kommt es doch nicht bei.,negative,negative,negative,negative,875,878
54,"Ich wünschte Conti, ihre Kunst den anderen Vorwürfen zu bewundern. Hmm, eine bewunderungswürdigere Kunst gibt es aber sicherlich.",positive,negative,negative,negative,880,887
55,"Keinen bewunderungswürdigeren Gegenstand als diesen. So wett ich Conti, das ist des Künstlers.",positive,neutral,negative,neutral,888,895
56,was ich,neutral,neutral,negative,neutral,903,903
57,Ihr Werk Conti.,neutral,negative,negative,neutral,905,907
58,oder das Werk meiner Phantasie,positive,positive,negative,neutral,908,910
59,"Emilia Galotti. Wie mein Prinz, sie kennen diesen Engel",positive,neutral,neutral,neutral,912,916
60,So haben wir,neutral,negative,neutral,neutral,918,919
61," um sie eben wiederzukennen. – Es ist einige Wochen her, als ich sie mit ihrer Mutter in einer Vegghia traf. – Nachher ist sie mir nur an heiligen Stätten wieder vorgekommen – wo das Angaffen sich weniger ziemt. – Auch kenn ich ihren Vater. Er ist mein Freund nicht. Er war es, der sich meinen Ansprüchen auf Sabionetta am meisten widersetzte. Ja, Der Vater, ja! Aber hier haben wir seine Tochter. Bei Gott, und wie aus dem Spiegel gestohlen.",positive,negative,negative,neutral,920,946
62,"Oh Sie wissen es ja wohl Conti, dass man den Künstler dann erst recht lobt, wenn man",positive,positive,negative,neutral,952,956
63,Und doch bin ich wiederum sehr zufrieden mit meiner Unzufriedenheit mit mir selbst.,positive,negative,negative,neutral,963,968
64,Dass wir nicht unmittelbar mit den Augen malen.,neutral,negative,neutral,neutral,971,976
65,"Auf dem langen Wege aus dem Auge durch den Arm in den Pinsel, wie viel geht da verloren?",neutral,negative,negative,neutral,977,983
66,"Aber wie ich sage, dass ich weiß was verloren gegangen und wie ist verloren gegangen und warum ist verloren gehen müssen.",neutral,negative,negative,neutral,984,991
67,"darauf bin ich ebenso stolz und stolzer als ich auf alles das bin, was ich nicht verloren gehen lassen dann aus jenem erkenne ich mehr als aus diesem",positive,positive,negative,neutral,992,1001
68,dass ich wirklich ein großer Maler bin.,positive,positive,neutral,neutral,1003,1005
69,Das ist aber nur meine Hand nicht immer ist.,neutral,negative,negative,neutral,1007,1010
70,"Oder meinen Sie Prinz, dass Rafael nicht das größte malerische Genie gewesen wäre, wenn er unglücklicherweise ohne Hände wäre geboren worden.",neutral,positive,negative,neutral,1013,1022
71,meinen Sie,neutral,neutral,neutral,neutral,1024,1025
72,Prinz was sagt,neutral,neutral,negative,neutral,1027,1029
73,Plaudereien,neutral,neutral,negative,neutral,1032,1033
74,ihre Seele merke ich.,neutral,negative,negative,neutral,1036,1037
75,War ganz in ihren Augen.,neutral,negative,positiv,neutral,1039,1040
76,"Ich liebe solche Seelen und solche Augen. Also Conti rechnen Sie doch wirklich Emilia Galotti mit zu den vorzüglichsten Schönheiten unserer Stadt. Also mit, mit zu den Vorzüglichsten und den Vorzüglichsten unserer Stadt. Sie spotten meiner Prinz.",positive,positive,negative,neutral,1043,1059
77,Oder sie sahen die ganze Zeit ebensowenig als sie hörten.,neutral,neutral,negative,neutral,1060,1063
78,Ach lieber Conti,positive,positive,neutral,neutral,1064,1066
79,Wie darf unser einen seinen Augen trauen. Eigentlich weiß doch nur allein ein Maler von der Schönheit zu urteilen. Eines jedem Empfindung sollte erst auf den Ausspruch eines Malers warten.,positive,positive,negative,negative,1067,1080
80,"Das Kloster mit dem der von uns wissen will, was schön ist.",negative,negative,negative,neutral,1082,1085
81,"Aber eines muss ich Ihnen als Maler sagen, mein Prinz.",neutral,neutral,negative,negative,1088,1091
82,Einer der größten Glückseligkeiten meines Lebens ist es.,positive,positive,negative,neutral,1093,1096
83,Emilia Galotti mir gesessen,neutral,neutral,negative,neutral,1097,1099
84,seitdem mein einziges Studium der weiblichen Schönheit,neutral,positive,negative,negative,1102,1105
85,"Das Bild wofür sie gesessen hat ihr abwesender Vater bekommen, aber diese Kopie ist für Sie Prinz.",positive,negative,positiv,neutral,1109,1116
86,Wenn Sie Geschmack daran finden.,neutral,neutral,negative,negative,1118,1119
87,Geschmack,negative,neutral,neutral,negative,1121,1122
88,"Dieses Ihr Studium der weiblichen Schönheit, Conti, wie könnt' ich besser tun, als es auch zu dem meinigen zu machen? – Dort, jenes Porträt nehmen Sie nur wieder mit, es soll in der Galerie wieder aufgestellt werden. Aber dieses da es bleibt hier. Mit einem Studio macht man soviel Umstände nicht: auch läßt man das nicht aufhängen,",neutral,negative,negative,negative,1124,1142
89,ich danke ihnen Conti.,positive,positive,negative,neutral,1146,1147
90,Ich danke Ihnen.,positive,positive,negative,neutral,1148,1149
91,Recht sehr,positive,negative,neutral,neutral,1151,1151
92,"Und wie gesagt: in meinem Gebiete soll die Kunst nicht nach Brot gehen – bis ich selbst keines habe. – Schicken Sie, Conti, zu meinem Schatzmeister, und lassen Sie, auf Ihre Quittung, für beide Porträte sich bezahlen – soviel sie wollen.",positive,positive,negative,neutral,1153,1165
93,Hören Sie,neutral,neutral,negative,neutral,1170,1171
94,"so viel sie wollen. Sollte ich doch bald fürchten Prinz, dass ich so noch etwas anderes belohnen wollen als die Kunst.",neutral,negative,negative,neutral,1172,1178
95,Dieses Augen voll Liebreizung.,positive,neutral,negative,neutral,1190,1194
96,Bescheidenheit,neutral,positive,negative,neutral,1196,1197
97,und wenn er sich zum Reden öffnet.,neutral,positive,negative,neutral,1200,1201
98,ich höre kommen,neutral,neutral,negative,neutral,1207,1208
99,"noch bin ich mit dir zu neidisch, es wird Marinelli sein, hätte ich ihn doch nicht rufen lassen. Was für einen Morgen könnte ich haben.",negative,negative,positiv,neutral,1209,1222
100,"Ich bekam Lust, auszufahren. Der Morgen war so schön. – Aber nun ist er ja wohl verstrichen; und die Lust ist mir vergangen. Was haben wir Neues, Marinelli? Nichts von Belang, das ich wüßte. – Die Gräfin Orsina ist gestern zur Stadt gekommen. Hier liegt auch schon ihr guter Morgen oder was es sonst sein mag! Ich bin gar nicht neugierig darauf. – Sie haben sie gesprochen? Bin ich, leider, nicht ihr Vertrauter? – Aber, wenn ich es wieder von einer Dame werde, der es einkömmt, Sie in gutem Ernste zu lieben, Prinz: so – – Nichts verschworen, Marinelli! Ja? In der Tat, Prinz? Könnt' es doch kommen? – Oh! so mag die Gräfin auch so unrecht nicht haben. Allerdings, sehr unrecht! – Meine nahe Vermählung mit der Prinzessin von Massa will durchaus, daß ich alle dergleichen Händel fürs erste abbreche.",neutral,negative,negative,negative,1241,1297
101,"wohl zu finden wissen, als der Prinz in seines.
Das unstreitig härter ist, als ihres. Mein Herz wird das Opfer eines elenden Staatsinteresse. Ihres darf sie nur zurücknehmen; aber nicht wider Willen verschenken.
Zurücknehmen? Warum zurücknehmen? fragt die Gräfin: wenn es weiter nichts, als eine Gemahlin ist, die dem Prinzen nicht die Liebe, sondern die Politik zuführt? Neben so einer Gemahlin sieht die Geliebte noch immer ihren Platz. Nicht so einer Gemahlin fürchtet sie aufgeopfert zu sein, sondern – –
Einer neuen",negative,negative,negative,negative,1301,1332
102,nun denn,neutral,neutral,negative,neutral,1335,1335
103,"Wollten Sie mir daraus ein Verbrechen machen, Marinelli?
Ich? – O! vermengen Sie mich ja nicht, mein Prinz, mit der Närrin, deren Wort ich führe, – aus Mitleid führe. Denn gestern, wahrlich, hat sie mich sonderbar gerühret. Sie wollte von ihrer Angelegenheit mit Ihnen gar nicht sprechen. Sie wollte sich ganz gelassen und kalt stellen. Aber mitten in dem gleichgültigsten Gespräche, entfuhr ihr eine Wendung, eine Beziehung über die andere, die ihr gefoltertes Herz verriet. Mit dem lustigsten Wesen sagte sie die melancholischsten Dinge: und wiederum die lächerlichsten Possen mit der allertraurigsten Miene. Sie hat zu den Büchern ihre Zuflucht genommen; und ich fürchte, die werden ihr den Rest geben.
So wie sie ihrem armen Verstande auch den ersten Stoß gegeben.",negative,negative,negative,positive,1336,1382
104,So wäre sie es.,negative,neutral,neutral,neutral,1384,1385
105,früher oder später,neutral,neutral,negative,neutral,1388,1388
106,auch ohne Liebe geworden,neutral,positive,negative,neutral,1390,1392
107,und nun genug von ihr von etwas anderem.,negative,negative,negative,neutral,1393,1398
108,"Geht denn gar nichts vor, in der Stadt? –
So gut, wie gar nichts. – Denn daß die Verbindung des Grafen Appiani heute vollzogen wird, – ist nicht viel mehr, als gar nichts.",neutral,negative,negative,neutral,1400,1409
109,"Des Grafen Appiani? und mit wem denn? – Ich soll ja noch hören, daß er versprochen ist.
Die Sache ist sehr geheim gehalten worden. Auch war nicht viel Aufhebens davon zu machen. – Sie werden lachen, Prinz. – Aber so geht es den Empfindsamen! Die Liebe spielt ihnen immer die schlimmsten Streiche. Ein Mädchen ohne Vermögen und ohne Rang, hat ihn in ihre Schlinge zu ziehen gewußt, – mit ein wenig Larve; aber mit vielem Prunke von Tugend und Gefühl und Witz, – und was weiß ich?
Wer sich den Eindrücken, die Unschuld und Schönheit auf ihn machen, ohne weitere Rücksicht, so ganz überlassen darf; – ich dächte, der wär' eher zu beneiden,",positive,negative,negative,negative,1411,1453
110,"als zu belachen. – Und wie heißt denn die Glückliche? – Denn bei alle dem ist Appiani – ich weiß wohl, daß Sie, Marinelli, ihn nicht leiden können; eben so wenig als er Sie – bei alle dem 
ist er doch ein sehr würdiger junger Mann, ein schöner Mann, ein reicher Mann, ein Mann voller Ehre. Ich hätte sehr gewünscht, ihn mir verbinden zu können. Ich werde noch darauf denken.
Wenn es nicht zu spät ist. – Denn so viel ich höre, ist sein Plan gar nicht, bei Hofe sein Glück zu machen. – Er will mit seiner Gebieterin nach seinen Tälern von Piemont: – Gemsen zu jagen, auf den Alpen; und Murmeltiere abzurichten. – Was kann er Beßres tun? Hier ist es durch das Mißbündnis, welches er trifft, mit ihm doch aus. Der Zirkel der ersten Häuser ist ihm von nun an verschlossen – –
Mit euern ersten Häusern! – in welchen das Zeremoniell, der Zwang, die Langeweile, und nicht selten die Dürftigkeit herrscht.",neutral,negative,negative,negative,1454,1507
111,"Aber so nennen Sie mir sie doch, der er dieses so große Opfer bringt.
Es ist eine gewisse Emilia Galotti.",neutral,positive,positiv,neutral,1508,1513
112,Wie Marinelli?,positive,neutral,negative,neutral,1517,1517
113,Emilia Galotti,neutral,neutral,negative,neutral,1520,1522
114,"Nimmermehr!
Zuverlässig, gnädiger Herr.
Nein, sag ich",neutral,positive,negative,neutral,1525,1528
115,Emilia Galotti,negative,neutral,positiv,neutral,1553,1554
116,"Die Tochter des Obersten Galotti, bei Sabionetta?
Eben die.
Die hier in Guastalla mit ihrer Mutter wohnet?
Eben die.
Unfern der Kirche",negative,negative,negative,neutral,1556,1563
117,Diese? Diese Emilia Galotti? – Sprich dein verdammtes Eben die,negative,negative,positiv,neutral,1569,1574
118,die Trauung steht in der Schelle auf dem Landgut des Vaters bei Violetta gegen Mittag fahren Mutter und Tochter der Graf vielleicht ein paar Freunde dahin ab.,neutral,positive,negative,neutral,1582,1591
119,was mir nicht,negative,negative,negative,neutral,1598,1599
120,Nun ja.,negative,neutral,neutral,negative,1601,1602
121,ich liebe sie,negative,positive,negative,negative,1604,1605
122,"Ich bete sie an, dass sie Marinelli, nicht der sie ist so oft mich ihrer innigsten Freundschaft Versicherten.",negative,negative,negative,negative,1607,1615
123,"Wann hat kein Freund kann keinen Freund haben, dass sie so toll und so hämisch mir bis auf diesen Augenblick die Gefahr verhehlen, die meiner Liebe droht, wenn ich ihnen jemals.",negative,negative,negative,positive,1616,1633
124,Wenn du mich auch dazu kommen ließen,negative,positive,negative,negative,1636,1638
125,die lieben Emilia,negative,positive,positiv,neutral,1639,1640
126,"Wenn ich von dieser Liebe das geringste gewußt, das geringste vermutet habe; so möge weder Engel noch Heiliger von mir wissen! Fürsten haben keinen Freund! können keinen Freund haben!« – Und die Ursache, wenn dem so 
ist? – Weil sie keinen haben wollen. – Heute beehren sie uns mit ihrem Vertrauen, teilen uns ihre geheimsten Wünsche mit, schließen uns ihre ganze Seele auf: und morgen sind wir ihnen wieder so fremd, als hätten sie nie ein Wort mit uns gewechselt.
Ach! Marinelli, wie konnt' ich Ihnen vertrauen, was ich mir selbst kaum gestehen wollte?",negative,negative,negative,negative,1642,1673
127,Aller meiner Mühe war vergebens sie ein zweites Mal zu sprechen und das erste Mal.,negative,positive,negative,neutral,1680,1685
128,Ich komme von Sinnen.,negative,neutral,negative,negative,1690,1691
129,"Und ich soll Ihnen noch lange erzählen? – Sie sehen mich einen Raub der Wellen: was fragen sie viel, wie ich es geworden? Retten Sie mich, wenn Sie können: und fragen Sie dann.
Retten? ist da viel zu retten?",negative,positive,negative,negative,1692,1706
130,"Was Sie versäumt haben, gnädiger Herr, der Emilia Galotti zu bekennen, das bekennen Sie nun der Gräfin Appiani. Waren, die man aus der ersten Hand nicht haben kann, kauft man aus der zweiten; – und solche Waren nicht selten aus der zweiten um so viel wohlfeiler.
Ernsthaft, Marinelli, ernsthaft, oder –
Freilich, auch um so viel schlechter –
Sie werden unverschämt!",negative,negative,negative,negative,1707,1723
131,"Und dazu will der Graf damit aus dem Lande. – Ja, so müßte man auf etwas anders denken. –
Und auf was? – Liebster, bester Marinelli, denken Sie für mich. Was würden Sie tun, wenn Sie an meiner Stelle wären?
Vor allen Dingen, eine Kleinigkeit als eine Kleinigkeit ansehen; – und mir sagen, daß ich nicht vergebens sein wolle, was ich bin – Herr!
Schmeicheln Sie mir",negative,positive,negative,positive,1726,1750
132,Teufel sagen Sie,negative,neutral,negative,neutral,1757,1758
133,Schon hat erst heute soll es geschehen und nur geschehen Dinge ist nicht so hart.,neutral,negative,negative,negative,1759,1765
134,"Wollen Sie mir freie Hand lassen, Prinz? Wollen Sie alles genehmigen, was ich tue?
Alles, Marinelli, alles, was diesen Streich abwenden kann. Geschmachtet, geseufzet hab' ich lange genung, – länger als ich gesollt hätte; aber nichts getan! und über die zärtliche Untätigkeit bei einem Haar' alles verloren! – So lassen Sie uns keine Zeit verlieren. – Aber bleiben Sie nicht in der Stadt. ",negative,negative,negative,negative,1766,1790
135,Fahren Sie nach Ihrem Lustschloss dosalo?,neutral,negative,negative,neutral,1791,1793
136,"Weg nach sabbioneta geht da vorbei, wenn es mir nicht augenblicklich gelingt den Grafen zu entfernen, so denke ich.",negative,positive,negative,negative,1795,1804
137,"Doch, er geht in diese Falle gewiss.",neutral,positive,negative,negative,1805,1808
138,Sie wollen ja mein Prinz wegen ihrer Vermählung einen Gesandten nach Massa schicken.,neutral,positive,negative,neutral,1809,1815
139,"Lassen Sie den Grafen diesen Gesandten sein mit dem Bedinge, dass er noch heute abreist.",neutral,positive,negative,negative,1816,1821
140,Verstehen sie nicht.,negative,negative,negative,neutral,1824,1829
141,"Vortrefflich! – Bringen Sie ihn zu mir heraus. Gehen Sie, eilen Sie. Ich werfe mich sogleich in den Wagen. sogleich.",neutral,positive,negative,neutral,1835,1851
142,Wo auf der Erde?,neutral,neutral,neutral,neutral,1855,1858
143,"Mache das erste nicht mehr, warum sollte ich mit den Pfeile noch tiefer in die Wunde drücken?",negative,negative,negative,neutral,1866,1871
144,Und wenn nun doch alles verloren wäre.,negative,negative,negative,neutral,1873,1876
145,Wenn Marinelli nichts ausrichtete.,negative,neutral,negative,neutral,1878,1880
146,Warum habe ich mich aber auf ihn alleine verlassen.,negative,positive,negative,neutral,1881,1883
147,um diese Stundeum diese nämliche Stunde pflegt das fromme Mädchen alle Morgen bei den Dominikanern die Messe zu hören. – Wie wenn ich sie da zu sprechen suchte?,negative,negative,negative,neutral,1890,1899
148,doch heute,neutral,neutral,negative,neutral,1902,1903
149,eurem Hochzeitstag,neutral,neutral,negative,neutral,1906,1907
150,Heu,negative,neutral,neutral,negative,1909,1909
151,da werden ja andere Dinge am Herzen liegen als die Messe.,negative,neutral,negative,negative,1910,1913
152,des,neutral,neutral,neutral,negative,1915,1915
153,wer weiß,neutral,negative,neutral,negative,1917,1918
154,Es ist ein Gang. Camillo Rota.,neutral,neutral,negative,neutral,1921,1925
155,Da war doch die Bittschrift,neutral,neutral,negative,neutral,1946,1953
156,Kommen Sie Rota,neutral,neutral,negative,neutral,1964,1965
157,hier ist was ich diesen Morgen erbrochen.,neutral,negative,negative,neutral,1968,1973
158,"gnädiger Herr.
Noch ist hier eine Bittschrift einer Emilia Galot – – Bruneschi will ich sagen. – Ich habe meine Bewilligung zwar schon beigeschrieben. Aber doch – die Sache ist keine Kleinigkeit – Lassen Sie die Ausfertigung noch anstehen.",neutral,positive,negative,neutral,1980,1996
159,Nicht wie ich will.,neutral,negative,negative,neutral,2001,2004
160,Was haben wir sonst? Ein Todesurteil wäre zu unterschreiben.,neutral,negative,negative,neutral,2013,2021
161,"Ein Todesurteil, sagt' ich.
Ich höre ja wohl. – Es könnte schon geschehen sein. Ich bin eilig.
Nun hab' ich es doch wohl nicht mitgenommen! – – Verzeihen Sie, gnädiger Herr. – Es kann Anstand damit haben bis morgen.
Auch das! – Packen Sie nur zusammen: ich muß fort – Morgen, Rota",neutral,negative,positiv,neutral,2025,2045
162,recht gern,positive,negative,negative,neutral,2054,2058
163,ein Todesurteil,negative,neutral,negative,neutral,2061,2062
164,gern,neutral,neutral,negative,neutral,2065,2066
165,Ich hätte in diesem Augenblick nicht mögen unterschreiben lassen.,negative,positive,neutral,negative,2074,2077
166,Und wenn es den Mörder meines einzigen Sohnes betroffen hätte.,negative,neutral,negative,negative,2079,2082
167,recht gern,neutral,negative,negative,neutral,2084,2085
168,recht gern,negative,negative,negative,negative,2088,2089
169,steht mir durch die Seele dieses grässliche recht gern.,negative,negative,positiv,negative,2091,2094
170,"Wer sprengte da in den Hof?
Unser Herr, gnädige Frau.
Mein Gemahl? Ist es möglich?
Er folgt mir auf dem Fuße.
So unvermutet?",neutral,positive,negative,neutral,2128,2146
